Endpoint                                             Methods                        Rule
items/import.get_disclaimer_text                     GET, HEAD, OPTIONS             /admin/items/import/get_disclaimer_text
items/import.get_status                              OPTIONS, POST                  /admin/items/import/check_status
items/import.import_items                            OPTIONS, POST                  /admin/items/import/import
items/import.index                                   GET, HEAD, OPTIONS             /admin/items/import/
items/search.index                                   GET, HEAD, OPTIONS             /admin/items/search/
itemsetting.index                                    GET, HEAD, OPTIONS, POST       /admin/itemsetting/
itemtypesmapping.index                               GET, HEAD, OPTIONS             /admin/itemtypes/mapping/
itemtypesmapping.index                               GET, HEAD, OPTIONS             /admin/itemtypes/mapping/<int:ItemTypeID>
itemtypesmapping.mapping_register                    OPTIONS, POST                  /admin/itemtypes/mapping
itemtypesmapping.schema_list                         GET, HEAD, OPTIONS             /admin/itemtypes/mapping/schema
itemtypesmapping.schema_list                         GET, HEAD, OPTIONS             /admin/itemtypes/mapping/schema/<string:SchemaName>
itemtypesproperties.custom_property_new              OPTIONS, POST                  /admin/itemtypes/properties
itemtypesproperties.custom_property_new              OPTIONS, POST                  /admin/itemtypes/properties/<int:property_id>
itemtypesproperties.get_property                     GET, HEAD, OPTIONS             /admin/itemtypes/properties/<int:property_id>
itemtypesproperties.index                            GET, HEAD, OPTIONS             /admin/itemtypes/properties/
itemtypesregister.delete_itemtype                    OPTIONS, POST                  /admin/itemtypes/delete/
itemtypesregister.delete_itemtype                    OPTIONS, POST                  /admin/itemtypes/delete
itemtypesregister.delete_itemtype                    OPTIONS, POST                  /admin/itemtypes/delete/<int:item_type_id>
itemtypesregister.export                             GET, HEAD, OPTIONS             /admin/itemtypes/<int:item_type_id>/export
itemtypesregister.get_property_list                  GET, HEAD, OPTIONS             /admin/itemtypes/get-all-properties
itemtypesregister.index                              GET, HEAD, OPTIONS             /admin/itemtypes/
itemtypesregister.index                              GET, HEAD, OPTIONS             /admin/itemtypes/<int:item_type_id>
itemtypesregister.item_type_import                   OPTIONS, POST                  /admin/itemtypes/import
itemtypesregister.register                           OPTIONS, POST                  /admin/itemtypes/register
itemtypesregister.register                           OPTIONS, POST                  /admin/itemtypes/<int:item_type_id>/register
itemtypesregister.render_itemtype                    GET, HEAD, OPTIONS             /admin/itemtypes/<int:item_type_id>/render
itemtypesregister.restore_itemtype                   OPTIONS, POST                  /admin/itemtypes/restore/
itemtypesregister.restore_itemtype                   OPTIONS, POST                  /admin/itemtypes/restore
itemtypesregister.restore_itemtype                   OPTIONS, POST                  /admin/itemtypes/restore/<int:item_type_id>
language.index                                       GET, HEAD, OPTIONS, POST       /admin/language/
location.action_view                                 OPTIONS, POST                  /admin/location/action/
location.ajax_lookup                                 GET, HEAD, OPTIONS             /admin/location/ajax/lookup/
location.ajax_update                                 OPTIONS, POST                  /admin/location/ajax/update/
location.create_view                                 GET, HEAD, OPTIONS, POST       /admin/location/new/
location.delete_view                                 OPTIONS, POST                  /admin/location/delete/
location.details_view                                GET, HEAD, OPTIONS             /admin/location/details/
location.edit_view                                   GET, HEAD, OPTIONS, POST       /admin/location/edit/
location.export                                      GET, HEAD, OPTIONS             /admin/location/export/<export_type>/
location.index_view                                  GET, HEAD, OPTIONS             /admin/location/
loganalysissetting.index                             GET, HEAD, OPTIONS, POST       /admin/loganalysissetting/
mail.index                                           GET, HEAD, OPTIONS, POST       /admin/mail/
mail.send_test_mail                                  OPTIONS, POST                  /admin/mail/send_test_mail
multipartobject.action_view                          OPTIONS, POST                  /admin/multipartobject/action/
multipartobject.ajax_lookup                          GET, HEAD, OPTIONS             /admin/multipartobject/ajax/lookup/
multipartobject.ajax_update                          OPTIONS, POST                  /admin/multipartobject/ajax/update/
multipartobject.create_view                          GET, HEAD, OPTIONS, POST       /admin/multipartobject/new/
multipartobject.delete_view                          OPTIONS, POST                  /admin/multipartobject/delete/
multipartobject.details_view                         GET, HEAD, OPTIONS             /admin/multipartobject/details/
multipartobject.edit_view                            GET, HEAD, OPTIONS, POST       /admin/multipartobject/edit/
multipartobject.export                               GET, HEAD, OPTIONS             /admin/multipartobject/export/<export_type>/
multipartobject.index_view                           GET, HEAD, OPTIONS             /admin/multipartobject/
oaiset.action_view                                   OPTIONS, POST                  /admin/oaiset/action/
oaiset.ajax_lookup                                   GET, HEAD, OPTIONS             /admin/oaiset/ajax/lookup/
oaiset.ajax_update                                   OPTIONS, POST                  /admin/oaiset/ajax/update/
oaiset.create_view                                   GET, HEAD, OPTIONS, POST       /admin/oaiset/new/
oaiset.delete_view                                   OPTIONS, POST                  /admin/oaiset/delete/
oaiset.details_view                                  GET, HEAD, OPTIONS             /admin/oaiset/details/
oaiset.edit_view                                     GET, HEAD, OPTIONS, POST       /admin/oaiset/edit/
oaiset.export                                        GET, HEAD, OPTIONS             /admin/oaiset/export/<export_type>/
oaiset.index_view                                    GET, HEAD, OPTIONS             /admin/oaiset/
objectversion.action_view                            OPTIONS, POST                  /admin/objectversion/action/
